,1 Year Return,Action Code,BARR,Date,Firm Name,Period,Rating,Recommendation,Target Price,Unnamed: 0
2006-05-08 00:00:00,-0.0,R,-2147483648,,Raymond James,12 month,5,outperform,150.09,132.0
2006-05-05 00:00:00,-0.0,U,-2147483648,,RBC Capital Markets,Not Provided,5,outperform,182.96,133.0
2006-05-05 00:00:00,-0.0,R,-2147483648,,Oppenheimer & Co,12 month,5,buy,150.09,134.0
2006-05-05 00:00:00,-0.0,M,-2147483648,,Fearnley Securities,6 month,5,buy,145.8,135.0
2006-05-05 00:00:00,-0.0,M,-2147483648,,Stanford Group,12 month,3,hold,124.36,136.0
2006-05-05 00:00:00,-0.0,M,-2147483648,,Barclays,Not Provided,5,overwt/positive,143.65,137.0
2006-05-04 00:00:00,-0.0,M,-2147483648,,Natixis Securities Americas LLC,12 month,-2147483648,no rating system,151.52,138.0
2006-05-01 00:00:00,-0.0,D,-2147483648,,Morgan Stanley,Not Provided,1,Underwt/Attractive,-0.0,139.0
2006-04-20 00:00:00,-0.0,M,-2147483648,,UBS,Not Provided,5,buy 2,150.09,140.0
2006-04-07 00:00:00,-0.0,N,-2147483648,,Redwood Brokerage,Not Provided,5,buy,137.22,141.0
2006-03-28 00:00:00,-0.0,D,-2147483648,,Goldman Sachs,Not Provided,3,in-line/attractive,-0.0,142.0
2006-03-06 00:00:00,-0.0,M,-2147483648,,Soleil Securities,Not Provided,5,buy,253.0,143.0
2006-02-24 00:00:00,-0.0,M,-2147483648,,Johnson Rice & Co,Not Provided,5,overweight,-0.0,144.0
2006-02-15 00:00:00,-0.0,R,-2147483648,,Jefferies,12 month,5,buy,131.5,145.0
2006-02-15 00:00:00,-0.0,D,-2147483648,,Wells Fargo Securities,Not Provided,3,market perform,-0.0,146.0
2006-02-15 00:00:00,-0.0,M,-2147483648,,Aperion Group LLC,12 month,5,buy,200.11,147.0
2006-02-07 00:00:00,-0.0,M,-2147483648,,Bear Stearns & Co,Not Provided,5,outperform,142.94,148.0
2005-11-08 00:00:00,-0.0,U,-2147483648,,J.P. Morgan,Not Provided,3,neutral,-0.0,149.0
2005-05-06 00:00:00,-0.0,M,-2147483648,,First Global Stockbroking,Not Provided,5,buy,85.76,150.0
2004-12-20 00:00:00,-0.0,U,-2147483648,,Argus Research Corp,Not Provided,3,hold,-0.0,151.0
2003-09-09 00:00:00,-0.0,M,-2147483648,,Weeden & Co,Not Provided,5,buy,47.17,152.0
2006-06-30 00:00:00,-0.0,R,-2147483648,,"Capital One Securities, Inc.",Not Provided,5,buy,162.95,153.0
2006-06-28 00:00:00,-0.0,M,-2147483648,,Bernstein,Not Provided,3,market perform,84.33,154.0
2006-06-26 00:00:00,-0.0,M,-2147483648,,Goldman Sachs,Not Provided,3,in-line/attractive,145.8,155.0
2006-06-23 00:00:00,-0.0,M,-2147483648,,RBC Capital Markets,Not Provided,5,outperform,182.96,156.0
2006-06-23 00:00:00,-0.0,R,-2147483648,,Oppenheimer & Co,12 month,5,buy,150.09,157.0
2006-06-21 00:00:00,-0.0,M,-2147483648,,Natixis Securities Americas LLC,12 month,-2147483648,no rating system,151.52,158.0
2006-06-20 00:00:00,-0.0,N,-2147483648,,Tudor Pickering & Co,Not Provided,4,accumulate,-0.0,159.0
2006-06-05 00:00:00,-0.0,M,-2147483648,,Soleil Securities,Not Provided,5,buy,227.27,160.0
2006-06-02 00:00:00,-0.0,R,-2147483648,,FBR Capital Markets,Not Provided,5,outperform,147.23,161.0
2006-05-24 00:00:00,-0.0,M,-2147483648,,Credit Suisse,12 month,5,outperform,151.52,162.0
2006-05-17 00:00:00,-0.0,M,-2147483648,,Scotia Howard Weil Inc,12 month,5,buy,145.8,163.0
2006-05-08 00:00:00,-0.0,D,-2147483648,,A.G. Edwards & Sons Inc,Not Provided,3,hold,-0.0,164.0
2006-05-08 00:00:00,-0.0,R,-2147483648,,Raymond James,12 month,5,outperform,150.09,165.0
2006-05-05 00:00:00,-0.0,M,-2147483648,,Fearnley Securities,6 month,5,buy,145.8,166.0
2006-05-05 00:00:00,-0.0,M,-2147483648,,Stanford Group,12 month,3,hold,124.36,167.0
2006-05-05 00:00:00,-0.0,M,-2147483648,,Barclays,Not Provided,5,overwt/positive,143.65,168.0
2006-05-01 00:00:00,-0.0,D,-2147483648,,Morgan Stanley,Not Provided,1,Underwt/Attractive,-0.0,169.0
2006-04-20 00:00:00,-0.0,M,-2147483648,,UBS,Not Provided,5,buy 2,150.09,170.0
2006-02-24 00:00:00,-0.0,M,-2147483648,,Johnson Rice & Co,Not Provided,5,overweight,-0.0,171.0
2006-02-15 00:00:00,-0.0,R,-2147483648,,Jefferies,12 month,5,buy,131.5,172.0
2006-02-15 00:00:00,-0.0,D,-2147483648,,Wells Fargo Securities,Not Provided,3,market perform,-0.0,173.0
2006-02-15 00:00:00,-0.0,M,-2147483648,,Aperion Group LLC,12 month,5,buy,200.11,174.0
2006-02-07 00:00:00,-0.0,M,-2147483648,,Bear Stearns & Co,Not Provided,5,outperform,142.94,175.0
2005-11-08 00:00:00,-0.0,U,-2147483648,,J.P. Morgan,Not Provided,3,neutral,-0.0,176.0
2005-05-06 00:00:00,-0.0,M,-2147483648,,First Global Stockbroking,Not Provided,5,buy,85.76,177.0
2004-12-20 00:00:00,-0.0,U,-2147483648,,Argus Research Corp,Not Provided,3,hold,-0.0,178.0
2003-09-09 00:00:00,-0.0,M,-2147483648,,Weeden & Co,Not Provided,5,buy,47.17,179.0
2006-08-01 00:00:00,-0.0,R,-2147483648,,"Capital One Securities, Inc.",Not Provided,5,buy,162.95,180.0
