,1 Year Return,Action Code,BARR,Date,Firm Name,Period,Rating,Recommendation,Target Price
918,-0.000000,M,-2147483648,2012-09-21,SunTrust Robinson Humphrey,Not Provided,3,neutral,-0.000000
919,-0.000000,M,-2147483648,2012-09-06,"Keefe, Bruyette & Woods",12 month,5,outperform,103.310000
920,-0.000000,M,-2147483648,2012-08-16,Stifel,Not Provided,3,hold,-0.000000
921,-0.000000,M,-2147483648,2012-08-06,Macquarie,12 month,5,outperform,105.960000
922,-0.000000,D,-2147483648,2012-08-06,"Miller Tabak + Co., LLC",12 month,3,hold,95.890000
923,-0.000000,M,-2147483648,2012-08-03,J.P. Morgan,3 month,3,neutral,100.660000
924,-0.000000,M,-2147483648,2012-08-02,Morgan Stanley,Not Provided,3,Equalwt/In-Line,-0.000000
925,-0.000000,M,-2147483648,2012-08-02,"Sandler O'Neill & Partners, LP",12 month,3,hold,98.010000
926,-0.000000,N,-2147483648,2012-08-02,S&P Capital IQ,Not Provided,5,buy,111.260000
927,-0.000000,M,-2147483648,2012-08-02,Portales Partners,Not Provided,5,outperform,-0.000000
928,-0.000000,M,-2147483648,2012-08-02,EVA Dimensions,Not Provided,5,buy,-0.000000
929,-0.000000,M,-2147483648,2012-08-01,Janney Montgomery Scott LLC,Not Provided,5,buy,-0.000000
930,-0.000000,M,-2147483648,2012-08-01,Sterne Agee CRT,12 month,1,underperform,100.660000
931,-0.000000,M,-2147483648,2012-04-27,UBS,12 month,3,neutral,95.360000
932,-0.000000,M,-2147483648,2012-10-31,SunTrust Robinson Humphrey,Not Provided,3,neutral,-0.000000
933,-0.000000,U,-2147483648,2012-10-30,"Miller Tabak + Co., LLC",12 month,3,hold,83.790000
934,-0.000000,M,-2147483648,2012-10-26,UBS,12 month,3,neutral,92.710000
935,-0.000000,M,-2147483648,2012-10-26,William Blair & Co,Not Provided,3,market perform,-0.000000
936,-0.000000,M,-2147483648,2012-10-25,Goldman Sachs,12 month,3,neutral/neutral,95.360000
937,-0.000000,M,-2147483648,2012-10-25,Stephens Inc,12 month,3,equalweight,87.420000
938,-0.000000,D,-2147483648,2012-10-25,S&P Capital IQ,Not Provided,3,hold,95.360000
939,-0.000000,M,-2147483648,2012-10-25,Portales Partners,Not Provided,5,outperform,-0.000000
940,-0.000000,M,-2147483648,2012-10-25,MKM Partners,12 month,5,buy,105.960000
941,-0.000000,M,-2147483648,2012-10-24,Morgan Stanley,Not Provided,3,Equalwt/In-Line,-0.000000
942,-0.000000,M,-2147483648,2012-10-24,J.P. Morgan,12 month,3,neutral,103.310000
943,-0.000000,M,-2147483648,2012-10-24,Macquarie,12 month,3,neutral,98.010000
944,-0.000000,M,-2147483648,2012-10-24,Stifel,Not Provided,3,hold,-0.000000
945,-0.000000,M,-2147483648,2012-10-24,Barclays,Not Provided,5,overweight,100.660000
946,-0.000000,M,-2147483648,2012-10-23,Janney Montgomery Scott LLC,Not Provided,5,buy,-0.000000
947,-0.000000,M,-2147483648,2012-10-23,"Keefe, Bruyette & Woods",12 month,3,market perform,92.710000
948,-0.000000,M,-2147483648,2012-10-23,"Sandler O'Neill & Partners, LP",12 month,3,hold,100.660000
949,-0.000000,M,-2147483648,2012-10-23,Sterne Agee CRT,12 month,1,underperform,92.710000
950,-0.000000,M,-2147483648,2012-08-02,EVA Dimensions,Not Provided,5,buy,-0.000000
951,-0.000000,M,-2147483648,2012-11-30,Macquarie,12 month,3,neutral,92.710000
952,-0.000000,M,-2147483648,2012-11-26,MKM Partners,12 month,5,buy,105.960000
953,-0.000000,M,-2147483648,2012-11-19,EVA Dimensions,Not Provided,5,overweight,-0.000000
954,-0.000000,M,-2147483648,2012-11-12,Portales Partners,Not Provided,5,outperform,-0.000000
955,-0.000000,M,-2147483648,2012-11-05,Stephens Inc,Not Provided,3,equalweight,87.420000
956,-0.000000,M,-2147483648,2012-10-31,SunTrust Robinson Humphrey,Not Provided,3,neutral,-0.000000
957,-0.000000,U,-2147483648,2012-10-30,"Miller Tabak + Co., LLC",12 month,3,hold,83.790000
958,-0.000000,M,-2147483648,2012-10-26,UBS,12 month,3,neutral,92.710000
959,-0.000000,M,-2147483648,2012-10-26,William Blair & Co,Not Provided,3,market perform,-0.000000
960,-0.000000,M,-2147483648,2012-10-25,Goldman Sachs,12 month,3,neutral/neutral,95.360000
961,-0.000000,D,-2147483648,2012-10-25,S&P Capital IQ,Not Provided,3,hold,95.360000
962,-0.000000,M,-2147483648,2012-10-24,Morgan Stanley,Not Provided,3,Equalwt/In-Line,-0.000000
963,-0.000000,M,-2147483648,2012-10-24,J.P. Morgan,12 month,3,neutral,103.310000
964,-0.000000,M,-2147483648,2012-10-24,Stifel,Not Provided,3,hold,-0.000000
965,-0.000000,M,-2147483648,2012-10-24,Barclays,Not Provided,5,overweight,100.660000
966,-0.000000,M,-2147483648,2012-10-23,Janney Montgomery Scott LLC,Not Provided,5,buy,-0.000000
967,-0.000000,M,-2147483648,2012-10-23,"Keefe, Bruyette & Woods",12 month,3,market perform,92.710000
968,-0.000000,M,-2147483648,2012-10-23,"Sandler O'Neill & Partners, LP",12 month,3,hold,100.660000
969,-0.000000,M,-2147483648,2012-10-23,Sterne Agee CRT,12 month,1,underperform,92.710000
970,-0.000000,M,-2147483648,2012-12-31,Stephens Inc,Not Provided,3,equalweight,87.420000
971,-0.000000,M,-2147483648,2012-12-31,"Miller Tabak + Co., LLC",12 month,3,hold,83.790000
972,-0.000000,M,-2147483648,2012-12-26,Stifel,Not Provided,3,hold,-0.000000
973,-0.000000,M,-2147483648,2012-12-21,MKM Partners,12 month,5,buy,105.960000
974,-0.000000,M,-2147483648,2012-12-20,Morgan Stanley,Not Provided,3,Equalwt/In-Line,-0.000000
975,-0.000000,M,-2147483648,2012-12-20,J.P. Morgan,12 month,3,neutral,103.310000
976,-0.000000,M,-2147483648,2012-12-20,William Blair & Co,Not Provided,3,market perform,-0.000000
977,-0.000000,M,-2147483648,2012-12-20,Macquarie,12 month,3,neutral,92.710000
978,-0.000000,M,-2147483648,2012-12-20,"Sandler O'Neill & Partners, LP",Not Provided,3,hold,95.360000
979,-0.000000,M,-2147483648,2012-12-20,Portales Partners,Not Provided,5,outperform,-0.000000
980,-0.000000,M,-2147483648,2012-12-19,Barclays,Not Provided,5,overweight,100.660000
981,-0.000000,M,-2147483648,2012-11-19,EVA Dimensions,Not Provided,5,overweight,-0.000000
982,-0.000000,M,-2147483648,2012-10-31,SunTrust Robinson Humphrey,Not Provided,3,neutral,-0.000000
983,-0.000000,M,-2147483648,2012-10-26,UBS,12 month,3,neutral,92.710000
984,-0.000000,M,-2147483648,2012-10-25,Goldman Sachs,12 month,3,neutral/neutral,95.360000
985,-0.000000,M,-2147483648,2012-10-23,Janney Montgomery Scott LLC,Not Provided,5,buy,-0.000000
986,-0.000000,M,-2147483648,2012-10-23,"Keefe, Bruyette & Woods",12 month,3,market perform,92.710000
987,-0.000000,M,-2147483648,2012-10-23,Sterne Agee CRT,12 month,1,underperform,92.710000
988,-0.000000,M,-2147483648,2013-01-28,William Blair & Co,Not Provided,3,market perform,-0.000000
989,-0.000000,M,-2147483648,2013-01-22,Barclays,Not Provided,5,overweight,111.260000
990,-0.000000,M,-2147483648,2013-01-18,Stifel,Not Provided,3,hold,-0.000000
991,-0.000000,M,-2147483648,2013-01-15,EVA Dimensions,Not Provided,5,overweight,-0.000000
992,-0.000000,M,-2147483648,2013-01-14,Sterne Agee CRT,12 month,1,underperform,92.710000
993,-0.000000,M,-2147483648,2013-01-03,Janney Montgomery Scott LLC,Not Provided,5,buy,-0.000000
994,-0.000000,M,-2147483648,2012-12-31,Stephens Inc,Not Provided,3,equalweight,87.420000
995,-0.000000,M,-2147483648,2012-12-31,"Miller Tabak + Co., LLC",12 month,3,hold,83.790000
996,-0.000000,M,-2147483648,2012-12-21,MKM Partners,12 month,5,buy,105.960000
