,1 Year Return,Action Code,BARR,Date,Firm Name,Period,Rating,Recommendation,Target Price
35,-0.000000,N,-2147483648,2014-01-16,S&P Capital IQ,12 month,5,buy,52.000000
36,-0.000000,M,-2147483648,2014-05-30,Bernstein,Not Provided,5,outperform,63.000000
37,-0.000000,M,-2147483648,2014-05-28,Imperial Capital LLC,Not Provided,3,in-line,57.000000
38,-0.000000,M,-2147483648,2014-05-22,"Morningstar, Inc",Not Provided,3,hold,-0.000000
39,-0.000000,M,-2147483648,2014-05-15,MKM Partners,12 month,5,buy,60.000000
40,-0.000000,M,-2147483648,2014-05-05,Spin-Off Research,Not Provided,3,hold,51.250000
41,-0.000000,M,-2147483648,2014-05-01,Credit Suisse,Not Provided,5,outperform,58.000000
42,-0.000000,M,-2147483648,2014-04-29,EVA Dimensions,Not Provided,1,sell,-0.000000
43,-0.000000,N,-2147483648,2014-01-16,S&P Capital IQ,12 month,5,buy,52.000000
44,-0.000000,M,-2147483648,2014-06-30,Bernstein,Not Provided,5,outperform,63.000000
45,-0.000000,M,-2147483648,2014-06-30,Imperial Capital LLC,Not Provided,3,in-line,60.000000
46,-0.000000,M,-2147483648,2014-06-05,Credit Suisse,Not Provided,5,outperform,58.000000
47,-0.000000,M,-2147483648,2014-05-22,"Morningstar, Inc",Not Provided,3,hold,-0.000000
48,-0.000000,M,-2147483648,2014-05-15,MKM Partners,12 month,5,buy,60.000000
49,-0.000000,M,-2147483648,2014-05-05,Spin-Off Research,Not Provided,3,hold,51.250000
50,-0.000000,M,-2147483648,2014-04-29,EVA Dimensions,Not Provided,1,sell,-0.000000
51,-0.000000,N,-2147483648,2014-01-16,S&P Capital IQ,12 month,5,buy,52.000000
52,-0.000000,M,-2147483648,2014-08-01,Bernstein,12 month,5,outperform,61.000000
53,-0.000000,M,-2147483648,2014-08-01,Imperial Capital LLC,12 month,3,in-line,60.000000
54,-0.000000,M,-2147483648,2014-07-31,Credit Suisse,Not Provided,5,outperform,58.000000
55,-0.000000,M,-2147483648,2014-07-31,"Morningstar, Inc",Not Provided,3,hold,-0.000000
56,-0.000000,M,-2147483648,2014-05-05,Spin-Off Research,Not Provided,3,hold,51.250000
57,-0.000000,M,-2147483648,2014-04-29,EVA Dimensions,Not Provided,1,sell,-0.000000
58,-0.000000,N,-2147483648,2014-01-16,S&P Capital IQ,12 month,5,buy,52.000000
59,-0.000000,N,-2147483648,2014-08-27,Longbow Research,Not Provided,3,neutral,-0.000000
60,-0.000000,M,-2147483648,2014-08-13,Bernstein,Not Provided,5,outperform,60.000000
61,-0.000000,M,-2147483648,2014-08-13,"Morningstar, Inc",Not Provided,3,hold,-0.000000
62,-0.000000,M,-2147483648,2014-08-01,Imperial Capital LLC,12 month,3,in-line,60.000000
63,-0.000000,M,-2147483648,2014-07-31,Credit Suisse,Not Provided,5,outperform,58.000000
64,-0.000000,M,-2147483648,2014-05-05,Spin-Off Research,Not Provided,3,hold,51.250000
65,-0.000000,M,-2147483648,2014-04-29,EVA Dimensions,Not Provided,1,sell,-0.000000
66,-0.000000,N,-2147483648,2014-01-16,S&P Capital IQ,12 month,5,buy,52.000000
67,-0.000000,M,-2147483648,2014-10-01,Buckingham Research Group,12 month,5,buy,61.000000
68,-0.000000,M,-2147483648,2014-10-01,Susquehanna Financial,12 month,3,neutral,58.000000
69,-0.000000,M,-2147483648,2014-09-30,Bernstein,Not Provided,5,outperform,60.000000
70,-0.000000,M,-2147483648,2014-09-24,Imperial Capital LLC,Not Provided,3,in-line,60.000000
71,-0.000000,M,-2147483648,2014-09-19,"Morningstar, Inc",Not Provided,3,hold,-0.000000
72,-0.000000,N,-2147483648,2014-08-27,Longbow Research,Not Provided,3,neutral,-0.000000
73,-0.000000,M,-2147483648,2014-07-31,Credit Suisse,Not Provided,5,outperform,58.000000
74,-0.000000,M,-2147483648,2014-05-05,Spin-Off Research,Not Provided,3,hold,51.250000
75,-0.000000,M,-2147483648,2014-04-29,EVA Dimensions,Not Provided,1,sell,-0.000000
76,-0.000000,N,-2147483648,2014-01-16,S&P Capital IQ,12 month,5,buy,52.000000
77,-0.000000,M,-2147483648,2014-10-31,Credit Suisse,Not Provided,5,outperform,60.000000
78,-0.000000,M,-2147483648,2014-10-31,Bernstein,12 month,5,outperform,60.000000
79,-0.000000,M,-2147483648,2014-10-31,Imperial Capital LLC,12 month,5,outperform,60.000000
80,-0.000000,M,-2147483648,2014-10-31,"Morningstar, Inc",Not Provided,3,hold,-0.000000
81,-0.000000,M,-2147483648,2014-10-31,Longbow Research,Not Provided,3,neutral,-0.000000
82,-0.000000,M,-2147483648,2014-10-31,Susquehanna Financial,12 month,3,neutral,58.000000
83,-0.000000,M,-2147483648,2014-10-30,Buckingham Research Group,12 month,5,buy,61.000000
84,-0.000000,M,-2147483648,2014-05-05,Spin-Off Research,Not Provided,3,hold,51.250000
85,-0.000000,M,-2147483648,2014-04-29,EVA Dimensions,Not Provided,1,sell,-0.000000
86,-0.000000,N,-2147483648,2014-01-16,S&P Capital IQ,12 month,5,buy,52.000000
87,-0.000000,M,-2147483648,2014-12-01,Bernstein,Not Provided,5,outperform,60.000000
88,-0.000000,M,-2147483648,2014-11-20,Credit Suisse,Not Provided,5,outperform,60.000000
89,-0.000000,M,-2147483648,2014-11-14,Buckingham Research Group,12 month,5,buy,61.000000
90,-0.000000,M,-2147483648,2014-11-04,EVA Dimensions,Not Provided,1,underweight,-0.000000
91,-0.000000,M,-2147483648,2014-11-03,Imperial Capital LLC,Not Provided,5,outperform,60.000000
92,-0.000000,M,-2147483648,2014-10-31,"Morningstar, Inc",Not Provided,3,hold,-0.000000
93,-0.000000,M,-2147483648,2014-10-31,Longbow Research,Not Provided,3,neutral,-0.000000
94,-0.000000,M,-2147483648,2014-10-31,Susquehanna Financial,12 month,3,neutral,58.000000
95,-0.000000,M,-2147483648,2014-05-05,Spin-Off Research,Not Provided,3,hold,51.250000
96,-0.000000,N,-2147483648,2014-01-16,S&P Capital IQ,12 month,5,buy,52.000000
97,-0.000000,M,-2147483648,2014-12-22,Bernstein,Not Provided,5,outperform,63.000000
98,-0.000000,M,-2147483648,2014-12-22,Imperial Capital LLC,Not Provided,5,outperform,60.000000
