,index,1 Year Return,Action Code,BARR,Date,Firm Name,Period,Rating,Recommendation,Target Price,Unnamed: 0
53,53,-0.0,M,-2147483648,2015-08-04,Goldman Sachs,Not Provided,-2147483648,not rated,-0.0,53.0
54,54,-0.0,M,-2147483648,2015-07-30,J.P. Morgan,18 month,3,neutral,35.0,54.0
55,55,-0.0,M,-2147483648,2015-07-23,WhiteSand Research LLC,Not Provided,4,undervalued,34.0,55.0
56,56,-0.0,M,-2147483648,2015-11-30,Cowen,12 month,5,outperform,43.0,56.0
57,57,-0.0,M,-2147483648,2015-11-15,Credit Suisse,Not Provided,5,outperform,42.0,57.0
58,58,-0.0,M,-2147483648,2015-11-05,Morgan Stanley,Not Provided,-2147483648,restricted,-0.0,58.0
59,59,-0.0,M,-2147483648,2015-11-02,Edward Jones,Not Provided,3,hold,-0.0,59.0
60,60,-0.0,M,-2147483648,2015-10-30,"Morningstar, Inc",Not Provided,5,buy,-0.0,60.0
61,61,-0.0,M,-2147483648,2015-10-29,UBS,12 month,5,buy,47.0,61.0
62,62,-0.0,M,-2147483648,2015-10-29,William Blair & Co,Not Provided,5,outperform,-0.0,62.0
63,63,-0.0,M,-2147483648,2015-10-29,Barclays,Not Provided,3,equalweight,38.0,63.0
64,64,-0.0,N,-2147483648,2015-10-12,New Street Research,Not Provided,5,buy,36.5,64.0
65,65,-0.0,N,-2147483648,2015-08-17,EVA Dimensions,Not Provided,5,overweight,-0.0,65.0
66,66,-0.0,M,-2147483648,2015-08-05,Spin-Off Research,Not Provided,3,neutral,35.0,66.0
67,67,-0.0,M,-2147483648,2015-08-04,Goldman Sachs,Not Provided,-2147483648,not rated,-0.0,67.0
68,68,-0.0,M,-2147483648,2015-07-30,J.P. Morgan,18 month,3,neutral,35.0,68.0
69,69,-0.0,M,-2147483648,2015-07-23,WhiteSand Research LLC,Not Provided,4,undervalued,34.0,69.0
70,70,-0.0,M,-2147483648,2015-12-31,Edward Jones,Not Provided,3,hold,-0.0,70.0
71,71,-0.0,M,-2147483648,2015-12-21,Cowen,12 month,5,outperform,43.0,71.0
72,72,-0.0,M,-2147483648,2015-12-14,Barclays,Not Provided,3,equalweight,40.0,72.0
73,73,-0.0,M,-2147483648,2015-12-08,"Morningstar, Inc",Not Provided,3,hold,-0.0,73.0
