Date,Firm Name,Period,Rating,Recommendation,Target Price
2009-08-06,"Miller Tabak + Co., LLC",12 month,3,neutral,10.59
2009-08-03,BMO Capital Markets,Not Provided,5,outperform,10.59
2008-11-06,Oppenheimer & Co,18 month,3,market perform,9.71
2010-02-01,Bernstein,12 month,3,market perform,13.24
2010-02-01,"Miller Tabak + Co., LLC",Not Provided,5,buy,-0.0
2010-01-28,Barclays,Not Provided,3,equalwt/neutral,13.24
2010-01-25,Goldman Sachs,12 month,3,neutral/attractive,11.92
2009-12-17,Pali International,Not Provided,3,neutral,-0.0
2009-08-03,BMO Capital Markets,Not Provided,5,outperform,10.59
2008-11-06,Oppenheimer & Co,18 month,3,market perform,9.71
2010-03-01,Bernstein,12 month,3,market perform,13.24
2010-02-17,Macquarie,Not Provided,5,outperform,-0.0
2010-02-03,Barclays,Not Provided,3,equalwt/neutral,14.13
2010-02-02,Goldman Sachs,12 month,3,neutral/attractive,11.92
2010-02-01,"Miller Tabak + Co., LLC",Not Provided,5,buy,-0.0
2009-08-03,BMO Capital Markets,Not Provided,5,outperform,10.59
2008-11-06,Oppenheimer & Co,18 month,3,market perform,9.71
2010-04-01,Macquarie,Not Provided,5,outperform,-0.0
2010-03-01,Bernstein,12 month,3,market perform,13.24
2010-02-03,Barclays,Not Provided,3,equalwt/neutral,14.13
2010-02-02,Goldman Sachs,12 month,3,neutral/attractive,11.92
2010-02-01,"Miller Tabak + Co., LLC",Not Provided,5,buy,-0.0
2009-08-03,BMO Capital Markets,Not Provided,5,outperform,10.59
2008-11-06,Oppenheimer & Co,18 month,3,market perform,9.71
2010-04-23,"Miller Tabak + Co., LLC",Not Provided,5,buy,16.77
2010-04-23,Barclays,Not Provided,3,equalwt/neutral,15.89
2010-04-19,Macquarie,Not Provided,5,outperform,-0.0
2010-02-02,Goldman Sachs,12 month,3,neutral/attractive,11.92
2009-08-03,BMO Capital Markets,Not Provided,5,outperform,10.59
2008-11-06,Oppenheimer & Co,18 month,3,market perform,9.71
2010-05-31,Macquarie,Not Provided,5,outperform,-0.0
2010-05-28,BTIG LLC,Not Provided,3,neutral,-0.0
2010-05-05,"Miller Tabak + Co., LLC",Not Provided,5,buy,18.54
2010-04-23,Barclays,Not Provided,3,equalwt/neutral,15.89
2010-02-02,Goldman Sachs,12 month,3,neutral/attractive,11.92
2009-08-03,BMO Capital Markets,Not Provided,5,outperform,10.59
2008-11-06,Oppenheimer & Co,18 month,3,market perform,9.71
2010-06-28,Goldman Sachs,12 month,5,buy/attractive,15.01
2010-06-22,Macquarie,Not Provided,5,outperform,-0.0
2010-06-15,BTIG LLC,Not Provided,3,neutral,-0.0
2010-05-05,"Miller Tabak + Co., LLC",Not Provided,5,buy,18.54
2010-04-23,Barclays,Not Provided,3,equalwt/neutral,15.89
2009-08-03,BMO Capital Markets,Not Provided,5,outperform,10.59
2010-07-27,Macquarie,Not Provided,5,outperform,-0.0
2010-07-23,"Miller Tabak + Co., LLC",Not Provided,5,buy,18.54
2010-06-28,Goldman Sachs,12 month,5,buy/attractive,15.01
2010-06-15,BTIG LLC,Not Provided,3,neutral,-0.0
2010-04-23,Barclays,Not Provided,3,equalwt/neutral,15.89
2009-08-03,BMO Capital Markets,Not Provided,5,outperform,10.59
2010-08-27,Macquarie,Not Provided,5,outperform,-0.0
2010-08-18,"Miller Tabak + Co., LLC",Not Provided,5,buy,17.66
2010-06-28,Goldman Sachs,12 month,5,buy/attractive,15.01
2010-06-15,BTIG LLC,Not Provided,3,neutral,-0.0
2010-04-23,Barclays,Not Provided,3,equalwt/neutral,15.89
2009-08-03,BMO Capital Markets,Not Provided,5,outperform,10.59
2010-09-23,"Miller Tabak + Co., LLC",Not Provided,5,buy,18.54
2010-09-21,Macquarie,Not Provided,5,outperform,-0.0
2010-06-28,Goldman Sachs,12 month,5,buy/attractive,15.01
2010-06-15,BTIG LLC,Not Provided,3,neutral,-0.0
2010-04-23,Barclays,Not Provided,3,equalwt/neutral,15.89
2009-08-03,BMO Capital Markets,Not Provided,5,outperform,10.59
2010-11-01,"Miller Tabak + Co., LLC",Not Provided,5,buy,18.54
2010-10-25,Nomura,12 month,5,buy,15.89
2010-10-20,Macquarie,Not Provided,5,outperform,-0.0
2010-06-28,Goldman Sachs,12 month,5,buy/attractive,15.01
2010-06-15,BTIG LLC,Not Provided,3,neutral,-0.0
2010-04-23,Barclays,Not Provided,3,equalwt/neutral,15.89
2009-08-03,BMO Capital Markets,Not Provided,5,outperform,10.59
2010-12-01,Nomura,12 month,5,buy,15.89
2010-11-18,Macquarie,Not Provided,3,neutral,-0.0
2010-11-17,"Miller Tabak + Co., LLC",Not Provided,5,buy,18.54
2010-11-17,Wedge Partners,Not Provided,-2147483648,no rating system,-0.0
2010-11-03,Barclays,Not Provided,3,equalwt/neutral,15.89
2010-06-28,Goldman Sachs,12 month,5,buy/attractive,15.01
2010-06-15,BTIG LLC,Not Provided,3,neutral,-0.0
2009-08-03,BMO Capital Markets,Not Provided,5,outperform,10.59
2010-12-22,Macquarie,Not Provided,3,neutral,-0.0
2010-12-22,"Miller Tabak + Co., LLC",Not Provided,5,buy,18.54
2010-12-01,Nomura,12 month,5,buy,15.89
2010-11-17,Wedge Partners,Not Provided,-2147483648,no rating system,-0.0
2010-11-03,Barclays,Not Provided,3,equalwt/neutral,15.89
2010-06-28,Goldman Sachs,12 month,5,buy/attractive,15.01
2010-06-15,BTIG LLC,Not Provided,3,neutral,-0.0
2009-08-03,BMO Capital Markets,Not Provided,5,outperform,10.59
2011-01-31,"Miller Tabak + Co., LLC",Not Provided,5,buy,18.54
2011-01-24,Nomura,12 month,5,buy,17.66
2011-01-21,Evercore ISI,12 month,5,overweight,16.77
2011-01-07,Wedge Partners,Not Provided,-2147483648,no rating system,-0.0
2010-12-22,Macquarie,Not Provided,3,neutral,-0.0
2010-11-03,Barclays,Not Provided,3,equalwt/neutral,15.89
2010-06-28,Goldman Sachs,12 month,5,buy/attractive,15.01
2010-06-15,BTIG LLC,Not Provided,3,neutral,-0.0
2009-08-03,BMO Capital Markets,Not Provided,5,outperform,10.59
2011-02-14,Macquarie,Not Provided,3,neutral,-0.0
2011-02-11,"Miller Tabak + Co., LLC",Not Provided,5,buy,18.54
2011-02-09,Nomura,12 month,5,buy,17.66
2011-02-03,Goldman Sachs,12 month,5,buy/attractive,16.33
2011-02-03,Wedge Partners,Not Provided,-2147483648,no rating system,-0.0
2011-01-21,Evercore ISI,12 month,5,overweight,16.77
2010-11-03,Barclays,Not Provided,3,equalwt/neutral,15.89
2010-06-15,BTIG LLC,Not Provided,3,neutral,-0.0
2009-08-03,BMO Capital Markets,Not Provided,5,outperform,10.59
2011-03-30,"Miller Tabak + Co., LLC",12 month,5,buy,18.54
2011-03-29,Davenport & Co,Not Provided,5,buy,19.42
2011-03-16,Nomura,12 month,5,buy,17.66
2011-03-14,Macquarie,Not Provided,3,neutral,-0.0
2011-03-04,BTIG LLC,12 month,5,buy,21.19
2011-03-04,Barclays,Not Provided,3,equalwt/neutral,17.66
