Date,Firm Name,Period,Rating,Recommendation,Target Price
2007-07-10,Stanford Group,12 month,5,buy,25.87
2007-06-14,UBS,12 month,3,neutral,25.87
2007-06-04,CIBC World Markets,Not Provided,3,sector perform,-0.0
2007-05-30,Raymond James,Not Provided,3,market perform,-0.0
2007-05-29,Credit Suisse,12 month,3,neutral,24.25
2007-05-29,EVA Dimensions,Not Provided,3,hold,-0.0
2007-05-10,Stifel,Not Provided,3,hold,-0.0
2007-05-10,Soleil Securities,Not Provided,3,hold,24.25
2007-02-09,Bear Stearns & Co,Not Provided,5,outperform,25.87
2006-12-13,Goldman Sachs,Not Provided,-2147483648,not rated,-0.0
2006-10-19,Barclays,12 month,5,overwt/positive,25.87
2006-10-09,Argus Research Corp,Not Provided,5,buy,-0.0
2006-03-09,Dr. Kalliwoda Equity Research,Not Provided,5,buy,7.36
2007-08-24,EVA Dimensions,Not Provided,5,buy,-0.0
2007-08-09,Raymond James,Not Provided,3,market perform,-0.0
2007-08-08,Credit Suisse,12 month,3,neutral,24.25
2007-08-08,UBS,12 month,3,neutral,24.25
2007-08-08,Stanford Group,12 month,5,buy,25.87
2007-08-08,Soleil Securities,Not Provided,3,hold,24.25
2007-08-03,Morgan Stanley,Not Provided,5,Overwt/In-Line,27.49
2007-07-20,J.P. Morgan,Not Provided,3,neutral,-0.0
2007-06-04,CIBC World Markets,Not Provided,3,sector perform,-0.0
2007-05-10,Stifel,Not Provided,3,hold,-0.0
2007-02-09,Bear Stearns & Co,Not Provided,5,outperform,25.87
2006-12-13,Goldman Sachs,Not Provided,-2147483648,not rated,-0.0
2006-10-19,Barclays,12 month,5,overwt/positive,25.87
2006-10-09,Argus Research Corp,Not Provided,5,buy,-0.0
2007-08-09,Raymond James,Not Provided,3,market perform,-0.0
2007-08-08,Credit Suisse,12 month,3,neutral,24.25
2007-08-08,UBS,12 month,3,neutral,24.25
2007-08-08,Stanford Group,12 month,5,buy,25.87
2007-08-08,Soleil Securities,Not Provided,3,hold,24.25
2007-08-03,Morgan Stanley,Not Provided,5,Overwt/In-Line,27.49
2007-07-20,J.P. Morgan,Not Provided,3,neutral,-0.0
2007-06-04,CIBC World Markets,Not Provided,3,sector perform,-0.0
2007-05-10,Stifel,Not Provided,3,hold,-0.0
2007-02-09,Bear Stearns & Co,Not Provided,5,outperform,25.87
2006-12-13,Goldman Sachs,Not Provided,-2147483648,not rated,-0.0
2006-10-19,Barclays,12 month,5,overwt/positive,25.87
2006-10-09,Argus Research Corp,Not Provided,5,buy,-0.0
2007-10-19,J.P. Morgan,Not Provided,3,neutral,-0.0
2007-10-17,Jefferies,Not Provided,3,hold,25.87
2007-10-04,Argus Research Corp,Not Provided,5,buy,-0.0
2007-08-09,Raymond James,Not Provided,3,market perform,-0.0
2007-08-08,Credit Suisse,12 month,3,neutral,24.25
2007-08-08,UBS,12 month,3,neutral,24.25
2007-08-08,Stanford Group,12 month,5,buy,25.87
2007-08-08,Soleil Securities,Not Provided,3,hold,24.25
2007-08-03,Morgan Stanley,Not Provided,5,Overwt/In-Line,27.49
2007-06-04,CIBC World Markets,Not Provided,3,sector perform,-0.0
2007-05-10,Stifel,Not Provided,3,hold,-0.0
2007-02-09,Bear Stearns & Co,Not Provided,5,outperform,25.87
2006-12-13,Goldman Sachs,Not Provided,-2147483648,not rated,-0.0
2006-10-19,Barclays,12 month,5,overwt/positive,25.87
2007-11-30,Soleil Securities,Not Provided,3,hold,24.25
2007-11-16,Bear Stearns & Co,Not Provided,3,peerperform,-0.0
2007-11-09,Credit Suisse,12 month,3,neutral,24.25
2007-11-09,Raymond James,Not Provided,3,market perform,-0.0
2007-11-09,Stanford Group,12 month,5,buy,25.87
2007-11-08,Morgan Stanley,12 month,5,Overwt/In-Line,27.49
2007-11-08,Stifel,Not Provided,3,hold,-0.0
2007-10-19,J.P. Morgan,Not Provided,3,neutral,-0.0
2007-10-17,Jefferies,Not Provided,3,hold,25.87
2007-10-04,Argus Research Corp,Not Provided,5,buy,-0.0
2007-08-08,UBS,12 month,3,neutral,24.25
2007-06-04,CIBC World Markets,Not Provided,3,sector perform,-0.0
2006-12-13,Goldman Sachs,Not Provided,-2147483648,not rated,-0.0
2006-10-19,Barclays,12 month,5,overwt/positive,25.87
2007-12-18,Goldman Sachs,Not Provided,3,neutral/neutral,22.64
2007-12-18,J.P. Morgan,Not Provided,1,underweight,-0.0
2007-12-04,UBS,12 month,3,neutral,22.64
2007-11-30,Soleil Securities,Not Provided,3,hold,24.25
2007-11-16,Bear Stearns & Co,Not Provided,3,peerperform,-0.0
2007-11-09,Credit Suisse,12 month,3,neutral,24.25
2007-11-09,Raymond James,Not Provided,3,market perform,-0.0
2007-11-09,Stanford Group,12 month,5,buy,25.87
2007-11-08,Morgan Stanley,12 month,5,Overwt/In-Line,27.49
2007-11-08,Stifel,Not Provided,3,hold,-0.0
2007-10-17,Jefferies,Not Provided,3,hold,25.87
2007-10-04,Argus Research Corp,Not Provided,5,buy,-0.0
2007-06-04,CIBC World Markets,Not Provided,3,sector perform,-0.0
2006-10-19,Barclays,12 month,5,overwt/positive,25.87
2008-01-28,UBS,12 month,3,neutral,18.59
2008-01-25,Credit Suisse,12 month,3,neutral,24.25
2008-01-23,Soleil Securities,Not Provided,5,buy,24.25
2008-01-15,Jefferies,Not Provided,5,buy,25.87
2008-01-14,Oppenheimer & Co,Not Provided,3,market perform,-0.0
2008-01-09,Goldman Sachs,12 month,3,neutral/neutral,19.4
2007-12-18,J.P. Morgan,Not Provided,1,underweight,-0.0
2007-11-16,Bear Stearns & Co,Not Provided,3,peerperform,-0.0
2007-11-09,Raymond James,Not Provided,3,market perform,-0.0
2007-11-09,Stanford Group,12 month,5,buy,25.87
2007-11-08,Morgan Stanley,12 month,5,Overwt/In-Line,27.49
2007-11-08,Stifel,Not Provided,3,hold,-0.0
2007-10-04,Argus Research Corp,Not Provided,5,buy,-0.0
2006-10-19,Barclays,12 month,5,overwt/positive,25.87
2008-02-11,Stifel,Not Provided,3,hold,-0.0
2008-02-11,Barclays,12 month,5,overwt/positive,25.87
2008-02-10,Morgan Stanley,12 month,5,Overwt/In-Line,27.49
2008-02-08,Raymond James,Not Provided,5,outperform,21.02
2008-02-08,Oppenheimer & Co,Not Provided,3,market perform,-0.0
2008-02-08,Stanford Group,12 month,5,buy,25.87
2008-02-08,Soleil Securities,Not Provided,5,buy,25.87
2008-01-28,UBS,12 month,3,neutral,18.59
2008-01-25,Credit Suisse,12 month,3,neutral,24.25
2008-01-15,Jefferies,Not Provided,5,buy,25.87
2008-01-09,Goldman Sachs,12 month,3,neutral/neutral,19.4
2007-12-18,J.P. Morgan,Not Provided,1,underweight,-0.0
2007-11-16,Bear Stearns & Co,Not Provided,3,peerperform,-0.0
2007-10-04,Argus Research Corp,Not Provided,5,buy,-0.0
2008-03-04,Wells Fargo Securities,12 month,3,market perform,19.4
2008-02-11,Stifel,Not Provided,3,hold,-0.0
2008-02-11,Barclays,12 month,5,overwt/positive,25.87
2008-02-10,Morgan Stanley,12 month,5,Overwt/In-Line,27.49
2008-02-08,Raymond James,Not Provided,5,outperform,21.02
2008-02-08,Oppenheimer & Co,Not Provided,3,market perform,-0.0
2008-02-08,Stanford Group,12 month,5,buy,25.87
2008-02-08,Soleil Securities,Not Provided,5,buy,25.87
2008-01-28,UBS,12 month,3,neutral,18.59
2008-01-25,Credit Suisse,12 month,3,neutral,24.25
