Date,Firm Name,Period,Rating,Recommendation,Target Price
2007-11-08,Dresdner Kleinwort,Not Provided,3,hold,3.71
2008-01-23,Lehman Brothers,12 month,1,underwt/positive,1.68
2008-01-22,Societe Generale,Not Provided,1,sell,1.33
2008-01-15,Investec,Not Provided,3,hold,2.36
2008-01-15,Goldman Sachs,12 month,3,neutral/cautious,2.24
2008-01-14,J.P. Morgan,12 month,1,underweight,1.96
2008-01-11,Credit Suisse,12 month,3,neutral,2.55
2008-01-11,UBS,12 month,3,neutral,2.35
2008-01-11,S&P Capital IQ,Not Provided,1,strong sell,1.96
2008-01-11,Panmure Gordon & Co Limited,Not Provided,1,sell,1.96
2008-01-10,Morgan Stanley,12 month,5,Overwt/In-Line,3.72
2008-01-10,Dresdner Kleinwort,Not Provided,3,hold,2.12
2007-12-18,Independent II Research plc,Not Provided,5,buy,-0.0
2007-12-13,Seymour Pierce,Not Provided,1,underperform,-0.0
2008-02-27,Goldman Sachs,12 month,3,neutral/cautious,2.59
2008-02-08,Dresdner Kleinwort,Not Provided,1,sell,2.1
2008-02-08,Panmure Gordon & Co Limited,Not Provided,1,sell,1.95
2008-02-07,Investec,Not Provided,3,hold,2.33
2008-01-23,Lehman Brothers,12 month,1,underwt/positive,1.68
2008-01-22,Societe Generale,Not Provided,1,sell,1.33
2008-01-14,J.P. Morgan,12 month,1,underweight,1.96
2008-01-11,Credit Suisse,12 month,3,neutral,2.55
2008-01-11,UBS,12 month,3,neutral,2.35
2008-01-11,S&P Capital IQ,Not Provided,1,strong sell,1.96
2008-01-10,Morgan Stanley,12 month,5,Overwt/In-Line,3.72
2007-12-18,Independent II Research plc,Not Provided,5,buy,-0.0
2007-12-13,Seymour Pierce,Not Provided,1,underperform,-0.0
2008-02-27,Goldman Sachs,12 month,3,neutral/cautious,2.59
2008-02-08,Dresdner Kleinwort,Not Provided,1,sell,2.1
2008-02-08,Panmure Gordon & Co Limited,Not Provided,1,sell,1.95
2008-02-07,Investec,Not Provided,3,hold,2.33
2008-01-23,Lehman Brothers,12 month,1,underwt/positive,1.68
2008-01-22,Societe Generale,Not Provided,1,sell,1.33
2008-01-14,J.P. Morgan,12 month,1,underweight,1.96
2008-01-11,Credit Suisse,12 month,3,neutral,2.55
2008-01-11,UBS,12 month,3,neutral,2.35
2008-01-11,S&P Capital IQ,Not Provided,1,strong sell,1.96
2008-01-10,Morgan Stanley,12 month,5,Overwt/In-Line,3.72
2007-12-18,Independent II Research plc,Not Provided,5,buy,-0.0
2007-12-13,Seymour Pierce,Not Provided,1,underperform,-0.0
2008-04-28,Morgan Stanley,12 month,5,Overwt/In-Line,3.78
2008-04-21,Investec,Not Provided,3,hold,2.38
2008-04-14,J.P. Morgan,12 month,1,underweight,2.26
2008-04-14,Panmure Gordon & Co Limited,Not Provided,1,sell,1.98
2008-04-11,Societe Generale,Not Provided,1,sell,1.73
2008-04-11,Seymour Pierce,Not Provided,1,sell,-0.0
2008-04-10,Lehman Brothers,12 month,1,underwt/positive,1.78
2008-04-10,UBS,12 month,3,neutral,2.57
2008-04-10,S&P Capital IQ,Not Provided,1,strong sell,1.97
2008-04-09,Credit Suisse,12 month,3,neutral,2.57
2008-04-09,Dresdner Kleinwort,Not Provided,1,sell,2.14
2008-02-27,Goldman Sachs,12 month,3,neutral/cautious,2.59
2007-12-18,Independent II Research plc,Not Provided,5,buy,-0.0
2008-05-22,Piper Jaffray,Not Provided,5,overweight,3.96
2008-05-16,Morgan Stanley,12 month,5,Overwt/In-Line,3.72
2008-05-14,Credit Suisse,12 month,3,neutral,2.53
2008-05-09,Dresdner Kleinwort,Not Provided,1,sell,2.14
2008-05-09,Panmure Gordon & Co Limited,Not Provided,1,sell,1.95
2008-05-08,Investec,Not Provided,3,hold,2.74
2008-04-14,J.P. Morgan,12 month,1,underweight,2.26
2008-04-11,Societe Generale,Not Provided,1,sell,1.73
2008-04-10,Lehman Brothers,12 month,1,underwt/positive,1.78
2008-04-10,UBS,12 month,3,neutral,2.57
2008-04-10,S&P Capital IQ,Not Provided,1,strong sell,1.97
2008-02-27,Goldman Sachs,12 month,3,neutral/cautious,2.59
2007-12-18,Independent II Research plc,Not Provided,5,buy,-0.0
2008-06-27,J.P. Morgan,12 month,3,neutral,2.27
2008-06-19,Piper Jaffray,Not Provided,5,overweight,3.87
2008-06-10,UBS,12 month,3,neutral,2.34
2008-06-10,S&P Capital IQ,Not Provided,1,sell,9.81
2008-06-06,Societe Generale,Not Provided,1,sell,1.73
2008-06-06,Investec,Not Provided,3,hold,2.76
2008-06-06,Dresdner Kleinwort,Not Provided,1,sell,2.17
2008-05-16,Morgan Stanley,12 month,5,Overwt/In-Line,3.72
2008-05-14,Credit Suisse,12 month,3,neutral,2.53
2008-05-09,Panmure Gordon & Co Limited,Not Provided,1,sell,1.95
2008-04-10,Lehman Brothers,12 month,1,underwt/positive,1.78
2008-02-27,Goldman Sachs,12 month,3,neutral/cautious,2.59
2007-12-18,Independent II Research plc,Not Provided,5,buy,-0.0
2008-07-28,J.P. Morgan,12 month,3,neutral,2.24
2008-07-24,UBS,12 month,3,neutral,2.28
2008-07-11,Piper Jaffray,Not Provided,5,overweight,3.9
2008-07-09,Goldman Sachs,12 month,1,Sell/Cautious,1.62
2008-06-10,S&P Capital IQ,Not Provided,1,sell,9.81
2008-06-06,Societe Generale,Not Provided,1,sell,1.73
2008-06-06,Investec,Not Provided,3,hold,2.76
2008-06-06,Dresdner Kleinwort,Not Provided,1,sell,2.17
2008-05-16,Morgan Stanley,12 month,5,Overwt/In-Line,3.72
2008-05-14,Credit Suisse,12 month,3,neutral,2.53
2008-05-09,Panmure Gordon & Co Limited,Not Provided,1,sell,1.95
2008-04-10,Lehman Brothers,12 month,1,underwt/positive,1.78
2007-12-18,Independent II Research plc,Not Provided,5,buy,-0.0
2008-08-18,Goldman Sachs,12 month,1,Sell/Cautious,2.02
2008-08-18,Dresdner Kleinwort,Not Provided,3,hold,2.05
2008-08-14,Piper Jaffray,Not Provided,5,overweight,3.06
2008-08-12,Investec,Not Provided,5,buy,3.15
2008-08-11,J.P. Morgan,12 month,3,neutral,2.26
2008-08-07,Credit Suisse,12 month,3,neutral,2.53
2008-07-24,UBS,12 month,3,neutral,2.28
2008-06-10,S&P Capital IQ,Not Provided,1,sell,9.81
2008-06-06,Societe Generale,Not Provided,1,sell,1.73
2008-05-16,Morgan Stanley,12 month,5,Overwt/In-Line,3.72
2008-05-09,Panmure Gordon & Co Limited,Not Provided,1,sell,1.95
2008-04-10,Lehman Brothers,12 month,1,underwt/positive,1.78
2007-12-18,Independent II Research plc,Not Provided,5,buy,-0.0
2008-09-22,Societe Generale,12 month,1,sell,29.58
2008-09-22,S&P Capital IQ,Not Provided,1,sell,20.33
2008-09-16,Morgan Stanley,Not Provided,5,Overwt/In-Line,33.94
2008-09-15,Goldman Sachs,12 month,1,Sell/Cautious,19.32
2008-09-11,Dresdner Kleinwort,Not Provided,3,hold,20.66
2008-09-05,UBS,Not Provided,3,neutral,-0.0
2008-09-04,Piper Jaffray,Not Provided,5,overweight,2.91
2008-09-03,Investec,Not Provided,5,buy,2.95
2008-08-11,J.P. Morgan,12 month,3,neutral,2.26
2008-08-07,Credit Suisse,12 month,3,neutral,2.53
2008-05-09,Panmure Gordon & Co Limited,Not Provided,1,sell,1.95
2008-04-10,Lehman Brothers,12 month,1,underwt/positive,1.78
2007-12-18,Independent II Research plc,Not Provided,5,buy,-0.0
2008-10-31,Dresdner Kleinwort,Not Provided,3,hold,11.31
2008-10-24,Independent II Research plc,Not Provided,5,buy,-0.0
2008-10-20,CL King & Associates,Not Provided,4,accumulate,26.0
2008-10-17,Goldman Sachs,12 month,1,Sell/Cautious,14.63
2008-10-02,Blue Oar,Not Provided,3,hold,-0.0
2008-09-22,Societe Generale,12 month,1,sell,29.58
2008-09-22,S&P Capital IQ,Not Provided,1,sell,20.33
2008-09-16,Morgan Stanley,Not Provided,5,Overwt/In-Line,33.94
2008-09-05,UBS,Not Provided,3,neutral,-0.0
2008-09-04,Piper Jaffray,Not Provided,5,overweight,2.91
2008-09-03,Investec,Not Provided,5,buy,2.95
2008-08-11,J.P. Morgan,12 month,3,neutral,2.26
2008-08-07,Credit Suisse,12 month,3,neutral,2.53
2008-05-09,Panmure Gordon & Co Limited,Not Provided,1,sell,1.95
2008-12-01,Investec,Not Provided,5,buy,10.39
2008-11-26,Dresdner Kleinwort,Not Provided,3,hold,9.18
2008-11-26,CL King & Associates,Not Provided,4,accumulate,13.0
2008-11-25,S&P Capital IQ,12 month,1,sell,7.12
2008-11-07,Societe Generale,Not Provided,5,buy,13.2
2008-11-07,UBS,Not Provided,3,neutral,11.81
2008-11-07,Piper Jaffray,12 month,5,overweight,18.65
2008-10-24,Independent II Research plc,Not Provided,5,buy,-0.0
2008-10-17,Goldman Sachs,12 month,1,Sell/Cautious,14.63
2008-10-02,Blue Oar,Not Provided,3,hold,-0.0
2008-09-16,Morgan Stanley,Not Provided,5,Overwt/In-Line,33.94
2008-08-11,J.P. Morgan,12 month,3,neutral,2.26
2008-05-09,Panmure Gordon & Co Limited,Not Provided,1,sell,1.95
2008-12-24,Goldman Sachs,12 month,3,neutral/cautious,7.85
2008-12-15,UBS,Not Provided,1,neutral-s/t sell,8.41
2008-12-04,CL King & Associates,Not Provided,4,accumulate,13.0
